,B-Press Count,Interval Mean,Interval StD
sub-000,9.5,29.9,20.25
sub-001,13.5,20.87,11.22
sub-002,8.0,38.01,21.37
sub-003,9.0,32.58,13.15
sub-004,10.0,29.77,20.29
sub-005,8.5,34.49,14.33
sub-006,20.5,14.75,9.67
sub-007,16.0,18.65,6.69
sub-008,13.0,23.03,10.6
sub-009,1.0,225.69,98.94
sub-010,14.5,20.5,17.83
sub-011,13.5,22.44,18.76
sub-012,11.5,23.76,15.54
sub-013,11.5,25.63,13.85
sub-014,4.5,46.61,32.98
sub-015,13.5,22.31,11.6
sub-016,12.5,24.0,9.51
sub-017,12.5,24.05,18.14
sub-018,4.0,59.83,17.37
sub-019,6.0,44.27,22.88
sub-020,13.0,22.31,16.0
sub-021,22.0,13.35,5.89
