SM-1	SM-2	SC-1	SC-2	OM-1	OM-2	OC-1	OC-2
6	13	10	10	14	0	12	0
13	14	8	9	12	13	13	12
8	8	12	9	20	13	13	13
7	11	12	10	7	12	13	13
5	15	17	18	9	7	14	7
9	8	7	9	18	15	13	14
17	24	12	11	30	46	16	13
15	17	16	13	8	5	11	12
11	15	14	17	14	15	12	12
1	1	9	14	1	1	14	12
13	16	12	8	20	18	5	8
17	10	10	8	9	11	12	6
13	10	19	8	9	7	13	14
12	11	12	5	12	10	13	13
1	8	14	14	3	5	11	14
13	14	20	20	7	9	14	13
11	14	21	11	8	8	12	9
8	17	9	10	8	9	13	11
4	4	9	8	8	7	13	13
4	8	14	14	0	6	12	1
10	16	12	14	11	14	14	13
18	26	20	18	8	17	13	13
9	22	12	11	13	16	11	10
7	7	10	11	12	25	13	13
4	0	6	10	4	5	13	13
5	6	9	8	8	8	13	12
3	6	8	16	7	12	10	12
21	22	9	18	14	17	13	13
